"Neighbourhood","Neighbourhood Id","Combined Indicators","Female Fertility","Premature Mortality","Student Nutrition","Health Providers","Community Food Programs","Colorectal Cancer Screenings","Breast Cancer Screenings","Cervical Cancer Screenings","Teen Pregnancy","Diabetes Prevalence","DineSafe Inspections"
"Pleasant View",46.0,"N/A",38.402458,194.1892725,0.0,15.0,0.0,42.6,66.2,62.7,15.942028985507246,10.2,0.0
"Don Valley Village",47.0,"N/A",40.036857,163.3586899,1106.0,50.0,0.0,40.2,60.9,64.4,16.017316017316016,9.6,4.0
"Hillcrest Village",48.0,"N/A",27.276023,156.1864614,0.0,23.0,2.0,46.2,67.8,62.2,14.035087719298247,9.4,3.0
"Bayview Woods-Steeles",49.0,"N/A",24.612092,162.4415098,380.0,10.0,0.0,45.8,68.6,62.5,10.666666666666666,8.7,0.0
"Newtonbrook East",50.0,"N/A",30.929487,197.5785202,20.0,46.0,4.0,42.7,62.0,61.2,6.410256410256411,8.3,0.0
"Willowdale East",51.0,"N/A",28.339052,134.8251605,0.0,63.0,0.0,46.7,63.3,63.9,11.548556430446194,7.4,6.0
"Bayview Village",52.0,"N/A",26.789838,129.3324327,0.0,128.0,2.0,42.7,65.4,66.0,12.121212121212121,7.2,0.0
"Henry Farm",53.0,"N/A",47.181007,164.0697309,0.0,76.0,0.0,37.1,57.6,61.5,23.58974358974359,10.7,1.0
"O'Connor-Parkview",54.0,"N/A",49.745822,272.7425227,680.0,17.0,4.0,42.2,63.9,63.2,29.48717948717949,10.1,0.0
"Thorncliffe Park",55.0,"N/A",77.765846,233.0407894,250.0,14.0,2.0,30.3,47.5,54.8,21.08843537414966,13.2,9.0
"Leaside-Bennington",56.0,"N/A",43.991508,144.2308149,0.0,10.0,2.0,40.4,70.4,76.3,6.5359477124183005,5.4,3.0
"Broadview North",57.0,"N/A",50.956695,199.0419418,522.0,10.0,0.0,31.9,57.2,64.4,77.33333333333333,9.9,4.0
"Old East York",58.0,"N/A",45.734767,218.135961,135.0,3.0,0.0,36.8,63.0,68.1,18.18181818181818,9.5,4.0
"Danforth-East York",59.0,"N/A",46.613697,232.2420093,0.0,32.0,2.0,35.1,61.9,70.7,31.16883116883117,10.0,1.0
"Woodbine-Lumsden",60.0,"N/A",42.507644,348.6510725,301.0,1.0,4.0,35.4,64.4,73.8,32.47863247863248,9.6,0.0
"Taylor-Massey",61.0,"N/A",61.865406,328.9070702,1490.0,8.0,2.0,37.1,57.3,63.2,45.04504504504505,12.9,6.0
"East End-Danforth",62.0,"N/A",45.037036,336.4348631,50.0,41.0,3.0,33.9,58.8,67.9,35.11904761904762,9.3,3.0
"The Beaches",63.0,"N/A",44.54251,189.1893018,0.0,21.0,3.0,36.1,56.6,66.2,17.283950617283953,5.9,4.0
"Woodbine Corridor",64.0,"N/A",47.575756,372.4232902,946.0,7.0,4.0,37.5,59.3,69.1,37.42690058479532,9.1,1.0
"Greenwood-Coxwell",65.0,"N/A",42.755344,288.3112369,1788.0,23.0,1.0,38.1,59.6,63.9,39.50617283950617,10.9,6.0
"Danforth",66.0,"N/A",48.906047,255.4487898,300.0,55.0,6.0,32.7,57.8,65.8,16.352201257861633,9.8,2.0
"Playter Estates-Danforth",67.0,"N/A",33.102386,271.6660499,0.0,30.0,2.0,35.4,64.4,72.5,15.555555555555557,7.9,3.0
"North Riverdale",68.0,"N/A",38.511814,257.7719498,430.0,31.0,2.0,34.6,55.0,64.9,24.56140350877193,8.3,8.0
"Blake-Jones",69.0,"N/A",50.486892,350.6984999,987.0,10.0,4.0,32.7,51.6,62.7,39.68253968253969,10.4,5.0
"South Riverdale",70.0,"N/A",47.104061,377.4012177,2142.0,32.0,8.0,37.4,58.5,64.9,47.05882352941176,10.2,37.0
"Cabbagetown-South St.James Town",71.0,"N/A",30.407125,322.487957,1730.0,21.0,7.0,32.4,54.8,60.0,31.111111111111114,8.0,10.0
"Regent Park",72.0,"N/A",60.688098,510.5951525,1050.0,1.0,11.0,37.5,56.3,60.3,37.992831541218635,14.4,3.0
"Moss Park",73.0,"N/A",38.413879,572.1113427,2245.0,17.0,10.0,36.4,56.1,64.0,59.42028985507246,10.1,18.0
"North St.James Town",74.0,"N/A",51.859165,311.8859292,535.0,76.0,2.0,28.3,48.1,51.8,25.925925925925927,13.2,6.0
"Church-Yonge Corridor",75.0,"N/A",22.687374,382.1262364,349.0,78.0,18.0,37.4,59.3,64.8,57.65765765765765,8.3,13.0
"Bay Street Corridor",76.0,"N/A",29.521196,287.224703,200.0,179.0,4.0,37.2,58.0,62.6,22.695035460992905,7.2,83.0
