"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","   Chinese","   South Asian","   Black","   Filipino","   Latin American","   Southeast Asian","   Arab","   West Asian","   Korean","   Japanese","   Other Visible Minority","   Multiple Visible Minority","   Not a Visible Minority","Aboriginal"
"Newtonbrook West",36.0,"N/A",20305.0,1325.0,955.0,385.0,2020.0,420.0,140.0,145.0,1045.0,1830.0,85.0,45.0,145.0,11740.0,95.0
"Willowdale West",37.0,"N/A",12480.0,1660.0,475.0,135.0,370.0,210.0,70.0,55.0,560.0,815.0,85.0,50.0,160.0,7840.0,15.0
"Lansing-Westgate",38.0,"N/A",14440.0,1100.0,550.0,230.0,550.0,275.0,75.0,60.0,580.0,625.0,110.0,45.0,150.0,10075.0,15.0
"Bedford Park-Nortown",39.0,"N/A",21880.0,630.0,270.0,235.0,1135.0,140.0,20.0,45.0,115.0,60.0,10.0,30.0,45.0,19120.0,75.0
"St.Andrew-Windfields",40.0,"N/A",17535.0,3065.0,575.0,555.0,430.0,295.0,85.0,210.0,625.0,855.0,90.0,25.0,135.0,10575.0,55.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",7660.0,970.0,190.0,25.0,80.0,10.0,10.0,20.0,170.0,10.0,0.0,0.0,55.0,6105.0,10.0
"Banbury-Don Mills",42.0,"N/A",25025.0,3535.0,1915.0,800.0,835.0,260.0,75.0,380.0,800.0,595.0,170.0,95.0,185.0,15365.0,25.0
"Victoria Village",43.0,"N/A",16730.0,905.0,3520.0,1645.0,805.0,415.0,85.0,700.0,450.0,185.0,40.0,185.0,195.0,7575.0,85.0
"Flemingdon Park",44.0,"N/A",21280.0,1910.0,7490.0,2170.0,1510.0,370.0,220.0,405.0,1375.0,410.0,70.0,145.0,340.0,4860.0,90.0
"Parkwoods-Donalda",45.0,"N/A",33740.0,3230.0,3845.0,3105.0,1165.0,855.0,250.0,885.0,1670.0,825.0,300.0,200.0,440.0,16970.0,115.0
"Pleasant View",46.0,"N/A",16600.0,5840.0,1650.0,520.0,340.0,130.0,80.0,135.0,720.0,270.0,70.0,110.0,205.0,6520.0,10.0
"Don Valley Village",47.0,"N/A",26400.0,7360.0,2845.0,1015.0,1340.0,295.0,290.0,760.0,2210.0,790.0,130.0,50.0,205.0,9070.0,55.0
"Hillcrest Village",48.0,"N/A",18340.0,8355.0,1320.0,950.0,195.0,140.0,70.0,210.0,865.0,635.0,130.0,80.0,280.0,5100.0,10.0
"Bayview Woods-Steeles",49.0,"N/A",13045.0,4420.0,605.0,485.0,90.0,45.0,20.0,155.0,610.0,925.0,30.0,20.0,150.0,5465.0,0.0
"Newtonbrook East",50.0,"N/A",15145.0,4620.0,825.0,190.0,265.0,95.0,30.0,95.0,1335.0,1440.0,120.0,65.0,165.0,5885.0,10.0
"Willowdale East",51.0,"N/A",41025.0,14860.0,1700.0,845.0,520.0,440.0,190.0,485.0,3395.0,4265.0,285.0,100.0,635.0,13315.0,135.0
