"Neighbourhood","Neighbourhood Id","Combined Indicators","Seniors Living Alone","Total Tenants","High Shelter Costs","Owned Dwellings","Rented Dwellings","Home Repairs Needed","Tenant Average Rent","Average Family Income","Pre-Tax Household Income","After-Tax Household Income"
"Englemount-Lawrence",32.0,"N/A",1390.0,4675.0,2885.0,3415.0,4670.0,735.0,835.0,74245.0,45060.0,45207.0
"Clanton Park",33.0,"N/A",640.0,2475.0,1815.0,2870.0,2475.0,390.0,870.0,75860.0,51960.0,52160.0
"Bathurst Manor",34.0,"N/A",825.0,2770.0,2280.0,3055.0,2775.0,410.0,960.0,67105.0,54315.0,57731.0
"Westminster-Branson",35.0,"N/A",1495.0,6010.0,4995.0,3730.0,6015.0,940.0,1015.0,56145.0,42520.0,49624.0
"Newtonbrook West",36.0,"N/A",670.0,3380.0,3070.0,4195.0,3380.0,575.0,1015.0,62895.0,51630.0,51504.0
"Willowdale West",37.0,"N/A",1040.0,1635.0,1780.0,3805.0,1635.0,275.0,905.0,77105.0,57735.0,61601.0
"Lansing-Westgate",38.0,"N/A",545.0,2405.0,2240.0,3555.0,2415.0,410.0,1245.0,119515.0,63355.0,64943.0
"Bedford Park-Nortown",39.0,"N/A",1130.0,2665.0,2240.0,5825.0,2660.0,420.0,955.0,165800.0,90635.0,93670.0
"St.Andrew-Windfields",40.0,"N/A",500.0,2070.0,1555.0,4250.0,2070.0,240.0,1125.0,164780.0,92365.0,94016.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",230.0,130.0,300.0,2305.0,135.0,95.0,1235.0,423850.0,208310.0,211492.0
"Banbury-Don Mills",42.0,"N/A",1810.0,4260.0,3365.0,6685.0,4260.0,470.0,1115.0,103490.0,74230.0,74272.0
"Victoria Village",43.0,"N/A",895.0,3995.0,2920.0,3110.0,3995.0,600.0,830.0,56695.0,42315.0,42250.0
"Flemingdon Park",44.0,"N/A",605.0,4175.0,3425.0,3350.0,4165.0,825.0,890.0,46360.0,41280.0,38141.0
"Parkwoods-Donalda",45.0,"N/A",1015.0,7665.0,4530.0,5025.0,7670.0,1010.0,1050.0,65255.0,56940.0,61160.0
"Pleasant View",46.0,"N/A",390.0,1360.0,1880.0,4105.0,1355.0,260.0,1040.0,64910.0,61455.0,61599.0
"Don Valley Village",47.0,"N/A",665.0,4715.0,3640.0,4665.0,4720.0,710.0,1040.0,60590.0,56120.0,57973.0
"Hillcrest Village",48.0,"N/A",925.0,1470.0,2330.0,4965.0,1465.0,370.0,670.0,71055.0,59610.0,59115.0
"Bayview Woods-Steeles",49.0,"N/A",530.0,1855.0,1705.0,2765.0,1850.0,215.0,1235.0,83985.0,64950.0,63724.0
"Newtonbrook East",50.0,"N/A",535.0,1760.0,2255.0,3955.0,1760.0,255.0,1150.0,78535.0,60460.0,65729.0
"Willowdale East",51.0,"N/A",1060.0,5940.0,7705.0,11745.0,5945.0,325.0,1260.0,69370.0,55985.0,61724.0
"Bayview Village",52.0,"N/A",495.0,2145.0,2285.0,3985.0,2150.0,300.0,1295.0,81840.0,70855.0,78880.0
"Henry Farm",53.0,"N/A",185.0,2495.0,1640.0,1500.0,2500.0,505.0,1075.0,62515.0,56645.0,59456.0
"O'Connor-Parkview",54.0,"N/A",755.0,3435.0,2620.0,3690.0,3435.0,560.0,860.0,63075.0,50165.0,49266.0
