"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - French","   Language - Chinese","   Language - Tamil","   Language - Italian","   Language - Spanish","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Russian","   Language - Persian (Farsi)","   Language - Korean"
"Agincourt South-Malvern West",128.0,"N/A",21155.0,40.0,9370.0,1035.0,415.0,130.0,60.0,500.0,395.0,25.0,170.0,70.0
"Agincourt North",129.0,"N/A",28950.0,50.0,14710.0,2845.0,150.0,145.0,70.0,780.0,350.0,20.0,140.0,55.0
"Milliken",130.0,"N/A",26090.0,25.0,16265.0,1515.0,45.0,75.0,20.0,675.0,235.0,0.0,60.0,30.0
"Rouge",131.0,"N/A",43685.0,175.0,1455.0,7140.0,255.0,300.0,125.0,2365.0,1230.0,35.0,410.0,90.0
"Malvern",132.0,"N/A",42915.0,235.0,2885.0,6240.0,105.0,445.0,100.0,2305.0,2350.0,15.0,325.0,70.0
"Centennial Scarborough",133.0,"N/A",12745.0,40.0,405.0,265.0,250.0,85.0,80.0,360.0,175.0,40.0,95.0,35.0
"Highland Creek",134.0,"N/A",12505.0,35.0,685.0,1060.0,305.0,70.0,85.0,465.0,215.0,15.0,80.0,70.0
"Morningside",135.0,"N/A",16515.0,100.0,585.0,1715.0,80.0,185.0,40.0,1075.0,610.0,15.0,215.0,70.0
"West Hill",136.0,"N/A",25380.0,205.0,575.0,810.0,330.0,435.0,90.0,985.0,425.0,65.0,445.0,60.0
"Woburn",137.0,"N/A",50890.0,190.0,3560.0,4665.0,430.0,615.0,180.0,2075.0,1740.0,70.0,1070.0,125.0
"Eglinton East",138.0,"N/A",21580.0,195.0,915.0,2740.0,255.0,325.0,90.0,1540.0,340.0,30.0,305.0,55.0
"Scarborough Village",139.0,"N/A",15860.0,140.0,330.0,1625.0,160.0,250.0,50.0,505.0,865.0,40.0,525.0,35.0
"Guildwood",140.0,"N/A",9495.0,25.0,185.0,75.0,110.0,95.0,40.0,165.0,25.0,50.0,70.0,30.0
