"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants Category","   Southern Asia","   South East Asia","   Eastern Asia","   West Asia/Middle East","   Africa","   Europe","   Caribbean/Central/S. America"
"Oakridge",121.0,"N/A",2575.0,1740.0,130.0,40.0,50.0,155.0,190.0,110.0
"Birchcliffe-Cliffside",122.0,"N/A",495.0,145.0,55.0,55.0,0.0,0.0,120.0,35.0
"Cliffcrest",123.0,"N/A",640.0,300.0,70.0,35.0,45.0,20.0,0.0,125.0
"Kennedy Park",124.0,"N/A",1355.0,510.0,430.0,30.0,0.0,190.0,55.0,80.0
"Ionview",125.0,"N/A",1550.0,430.0,575.0,115.0,0.0,100.0,40.0,260.0
"Dorset Park",126.0,"N/A",2435.0,985.0,435.0,305.0,85.0,180.0,60.0,215.0
"Bendale",127.0,"N/A",2820.0,1005.0,510.0,510.0,245.0,185.0,75.0,165.0
"Agincourt South-Malvern West",128.0,"N/A",2330.0,465.0,220.0,1365.0,0.0,60.0,25.0,40.0
"Agincourt North",129.0,"N/A",2935.0,675.0,315.0,1625.0,15.0,0.0,0.0,60.0
"Milliken",130.0,"N/A",2755.0,370.0,140.0,2095.0,0.0,0.0,0.0,35.0
"Rouge",131.0,"N/A",2345.0,1100.0,405.0,15.0,0.0,105.0,75.0,530.0
"Malvern",132.0,"N/A",3450.0,1660.0,655.0,155.0,65.0,170.0,40.0,575.0
"Centennial Scarborough",133.0,"N/A",380.0,50.0,95.0,30.0,0.0,0.0,40.0,45.0
"Highland Creek",134.0,"N/A",395.0,160.0,35.0,25.0,0.0,65.0,45.0,0.0
"Morningside",135.0,"N/A",1240.0,510.0,225.0,70.0,0.0,45.0,45.0,265.0
"West Hill",136.0,"N/A",2080.0,410.0,620.0,150.0,85.0,165.0,75.0,440.0
"Woburn",137.0,"N/A",6030.0,4060.0,560.0,440.0,150.0,200.0,115.0,290.0
"Eglinton East",138.0,"N/A",2700.0,1010.0,515.0,80.0,165.0,265.0,165.0,435.0
"Scarborough Village",139.0,"N/A",1870.0,935.0,145.0,35.0,15.0,150.0,90.0,355.0
"Guildwood",140.0,"N/A",235.0,15.0,35.0,0.0,0.0,30.0,25.0,80.0
