"Neighbourhood","Neighbourhood Id","Combined Indicators","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","Fire Medical Calls"
"Tam O'Shanter-Sullivan",118.0,"N/A",110.0,16.0,48.0,29.0,22.0,4.0,0.0,1.0,232.0,112.0,75.0,427.0
"Wexford/Maryvale",119.0,"N/A",174.0,20.0,124.0,44.0,53.0,15.0,1.0,1.0,288.0,245.0,125.0,610.0
"Clairlea-Birchmount",120.0,"N/A",261.0,15.0,131.0,43.0,45.0,5.0,0.0,3.0,248.0,106.0,87.0,547.0
"Oakridge",121.0,"N/A",159.0,15.0,63.0,54.0,22.0,2.0,0.0,1.0,218.0,34.0,83.0,458.0
"Birchcliffe-Cliffside",122.0,"N/A",141.0,19.0,75.0,16.0,11.0,3.0,0.0,0.0,228.0,46.0,85.0,547.0
"Cliffcrest",123.0,"N/A",80.0,17.0,41.0,28.0,18.0,5.0,0.0,0.0,121.0,33.0,74.0,297.0
"Kennedy Park",124.0,"N/A",217.0,22.0,51.0,75.0,26.0,7.0,0.0,1.0,206.0,60.0,86.0,428.0
"Ionview",125.0,"N/A",98.0,5.0,33.0,24.0,5.0,1.0,0.0,0.0,60.0,14.0,33.0,185.0
"Dorset Park",126.0,"N/A",134.0,24.0,90.0,34.0,49.0,6.0,1.0,0.0,215.0,123.0,85.0,529.0
"Bendale",127.0,"N/A",195.0,33.0,98.0,65.0,45.0,9.0,1.0,2.0,305.0,185.0,113.0,621.0
"Agincourt South-Malvern West",128.0,"N/A",108.0,20.0,73.0,24.0,32.0,19.0,0.0,0.0,168.0,158.0,70.0,316.0
"Agincourt North",129.0,"N/A",66.0,12.0,46.0,34.0,16.0,1.0,1.0,0.0,128.0,79.0,58.0,275.0
"Milliken",130.0,"N/A",70.0,19.0,102.0,38.0,41.0,16.0,0.0,2.0,160.0,101.0,46.0,282.0
"Rouge",131.0,"N/A",176.0,18.0,75.0,26.0,58.0,10.0,1.0,4.0,230.0,197.0,137.0,617.0
"Malvern",132.0,"N/A",215.0,27.0,62.0,40.0,27.0,10.0,0.0,1.0,232.0,175.0,145.0,617.0
"Centennial Scarborough",133.0,"N/A",54.0,7.0,13.0,11.0,8.0,1.0,0.0,0.0,67.0,60.0,35.0,184.0
"Highland Creek",134.0,"N/A",47.0,4.0,28.0,16.0,25.0,3.0,0.0,0.0,83.0,60.0,28.0,144.0
"Morningside",135.0,"N/A",127.0,30.0,30.0,18.0,19.0,2.0,0.0,2.0,215.0,84.0,89.0,338.0
"West Hill",136.0,"N/A",342.0,54.0,89.0,65.0,27.0,7.0,0.0,5.0,444.0,71.0,158.0,579.0
"Woburn",137.0,"N/A",355.0,51.0,120.0,86.0,45.0,11.0,3.0,5.0,581.0,212.0,208.0,876.0
"Eglinton East",138.0,"N/A",180.0,20.0,40.0,64.0,16.0,8.0,0.0,1.0,184.0,59.0,94.0,452.0
"Scarborough Village",139.0,"N/A",160.0,19.0,49.0,32.0,21.0,3.0,1.0,1.0,248.0,41.0,75.0,372.0
"Guildwood",140.0,"N/A",52.0,9.0,13.0,16.0,2.0,1.0,0.0,0.0,67.0,17.0,44.0,209.0
