"Neighbourhood","Neighbourhood Id","Combined Indicators","Rent Bank Applicants","Social Housing Units","Social Housing Turnover","Social Housing Waiting List","Households Assisted"
"Ionview",125.0,"N/A",30.0,332.0,0.0,365.0,3.0
"Dorset Park",126.0,"N/A",24.0,510.0,1.25,387.0,0.0
"Bendale",127.0,"N/A",30.0,508.0,0.0,600.0,2.0
"Agincourt South-Malvern West",128.0,"N/A",12.0,170.0,3.25,313.0,1.0
"Agincourt North",129.0,"N/A",2.0,77.0,0.0,426.0,0.0
"Milliken",130.0,"N/A",1.0,247.0,0.0,329.0,0.0
"Rouge",131.0,"N/A",26.0,336.0,0.727272,355.0,0.0
"Malvern",132.0,"N/A",38.0,927.0,1.923076,755.0,2.0
"Centennial Scarborough",133.0,"N/A",3.0,139.0,0.285714,52.0,0.0
"Highland Creek",134.0,"N/A",2.0,3.0,0.0,83.0,0.0
"Morningside",135.0,"N/A",27.0,460.0,2.4,370.0,31.0
"West Hill",136.0,"N/A",30.0,2089.0,0.0,658.0,5.0
"Woburn",137.0,"N/A",42.0,2594.0,6.0,1144.0,12.0
"Eglinton East",138.0,"N/A",31.0,865.0,4.666666,600.0,5.0
"Scarborough Village",139.0,"N/A",30.0,922.0,1.1,565.0,0.0
"Guildwood",140.0,"N/A",5.0,0.0,1.666666,40.0,0.0
