"Neighbourhood","Neighbourhood Id","Combined Indicators","Part-Time Employment","Low Income Families","Low Income Population","Low Income Children (Age 0-17)","Low Income Older Adults (Age 65+)","Low Income Lone Parent Families","Lone Parent Families","Low Income Lone Parent Families Pop","Lone Parent Families Population"
"Dorset Park",126.0,"N/A",2656.0,3010.0,6590.0,1990.0,390.0,530.0,1330.0,1390.0,3370.0
"Bendale",127.0,"N/A",6990.0,3170.0,6870.0,1960.0,440.0,470.0,1310.0,1270.0,3320.0
"Agincourt South-Malvern West",128.0,"N/A",3851.0,3110.0,6400.0,1440.0,530.0,370.0,1030.0,930.0,2590.0
"Agincourt North",129.0,"N/A",1465.0,3980.0,8250.0,1840.0,810.0,490.0,1370.0,1230.0,3310.0
"Milliken",130.0,"N/A",4296.0,3960.0,8330.0,1800.0,770.0,440.0,1180.0,1070.0,2920.0
"Rouge",131.0,"N/A",3356.0,3760.0,7770.0,2210.0,720.0,620.0,2120.0,1640.0,5480.0
"Malvern",132.0,"N/A",1745.0,5170.0,11490.0,3710.0,720.0,970.0,2700.0,2740.0,7210.0
"Centennial Scarborough",133.0,"N/A",331.0,690.0,1330.0,340.0,120.0,110.0,510.0,290.0,1290.0
"Highland Creek",134.0,"N/A",540.0,1110.0,2120.0,500.0,140.0,140.0,480.0,370.0,1230.0
"Morningside",135.0,"N/A",1467.0,2140.0,4580.0,1490.0,200.0,450.0,1060.0,1260.0,2820.0
"West Hill",136.0,"N/A",1441.0,3710.0,7640.0,2590.0,300.0,930.0,2100.0,2640.0,5630.0
"Woburn",137.0,"N/A",5041.0,6860.0,15430.0,4770.0,800.0,1170.0,2860.0,3190.0,7370.0
"Eglinton East",138.0,"N/A",986.0,2930.0,6290.0,2110.0,280.0,680.0,1710.0,1840.0,4460.0
"Scarborough Village",139.0,"N/A",714.0,2400.0,5500.0,1980.0,160.0,550.0,1120.0,1530.0,3020.0
"Guildwood",140.0,"N/A",364.0,440.0,790.0,170.0,80.0,50.0,460.0,160.0,1090.0
